model_size	token_multiplier	n	loss
S1	200.110938n	14999424	20.7426
S1	300.183883n	14999424	17.4007
S1	400.256829n	14999424	14.4521
S1	500.434636n	14999424	14.8167
S1	1000.659550n	14999424	11.5274
S2	103.607842n	31470080	13.0709
S2	207.207354n	31470080	10.0843
S2	310.815196n	31470080	9.7951
S2	414.414708n	31470080	9.1891
S2	518.030879n	31470080	8.7902
S2	1036.045099n	31470080	7.7108
S3	94.045144n	64901760	9.2394
S3	188.083219n	64901760	7.3282
S3	282.121295n	64901760	6.7184
S3	376.166439n	64901760	6.2969
S3	470.204514n	64901760	5.8553
S3	940.409029n	64901760	5.2009
S4	105.231872n	104427264	7.0162
S4	210.463744n	104427264	5.5798
S4	315.695616n	104427264	5.1471
S4	420.927488n	104427264	4.9409
S4	526.159360n	104427264	4.7963
S4	1052.298638n	104427264	4.2701
